region,health_ratio,ratio_underage_partic,coeff_Gini,not_smoking_male%,not_smoking_female%,num_of_criminals,num_of_alcohol_crimes,num_of_female_crimes,num_of_drugs_crimes,num_of_underaged_criminals,life_quality,population_size,num_of_crimes
Белгородская область,9.35,0.2431333333333333,0.377,61.69095724698137,93.291798982137,5613.166666666667,1719.0,932.3333333333334,36.0,150.66666666666666,63.719,1529301,14502.2
Брянская область,8.2,0.3257333333333334,0.3703999999999999,63.15878744441576,91.56605478143813,6419.833333333333,2317.6666666666665,1244.6666666666667,21.83333333333333,162.33333333333334,55.529,1166264,13860.6
Владимирская область,9.6,0.3962666666666666,0.3379999999999999,59.17274982147103,90.11833821645877,6128.333333333333,2229.333333333333,1053.8333333333333,21.166666666666668,211.8333333333333,56.349500000000006,1342524,15843.0
Воронежская область,11.2,0.3917666666666666,0.3936,60.338851189250576,91.61833609145008,9996.0,2800.0,1660.5,140.16666666666666,336.5,66.592,2303798,26951.0
Ивановская область,9.533333333333331,0.5000833333333333,0.3616,60.59752848848922,90.74576788033484,4691.0,1881.0,883.3333333333334,18.666666666666668,190.8333333333333,55.613,928797,11731.2
Калужская область,7.316666666666666,0.4812833333333333,0.3476,60.914047687473456,91.3615292384731,4215.0,1512.0,786.0,37.333333333333336,188.66666666666663,65.7655,1063600,13414.8
Костромская область,8.716666666666667,0.4498,0.3522,57.45715293278037,91.65740633228349,3139.333333333333,1278.5,551.8333333333334,14.5,119.16666666666669,50.0335,581548,8171.8
Курская область,7.183333333333334,0.3223499999999999,0.3674,60.82424892753187,89.16857411207768,5219.0,1917.1666666666667,904.3333333333334,34.833333333333336,136.5,60.060500000000005,1079887,12396.2
Липецкая область,11.65,0.3792999999999999,0.3783999999999999,59.80651155070655,92.25729956741034,5332.166666666667,1498.6666666666667,998.8333333333334,21.83333333333333,179.66666666666666,64.1775,1138346,13320.6
Московская область,8.416666666666666,0.2041333333333333,0.3702,63.59643615083012,88.10885988911585,35716.0,6449.166666666667,6523.0,510.0,625.3333333333334,81.531,8506201,71209.2
