region,ratio_underage_partic
Камчатский край,0.7232
Чеченская Республика,0.0035833333333333
Чувашская Республика - Чувашия,0.339983333
Рязанская область,0.2539666666666666
Республика Калмыкия,0.2666333333333333
Кабардино-Балкарская Республика,0.1551333333333333
г. Санкт-Петербург,0.2284333333333333
Московская область,0.2041333333333333
Республика Алтай,0.6812666666666666
Калужская область,0.4812833333333333
Республика Марий Эл,0.3707499999999999
Республика Крым,0.3718166666666667
Волгоградская область,0.537
Республика Башкортостан,0.3171833333333334
Чукотский автономный округ,0.3768500000000001
Ярославская область,0.4413833333333333
Республика Тыва,1.05305
Курская область,0.3223499999999999
Иркутская область,0.7637833333333334
Саратовская область,0.3678166666666667
Республика Коми,0.8275000000000001
Кемеровская область - Кузбасс,0.7640666666666666
Мурманская область,0.4846999999999999
Оренбургская область,0.3734166666666667
Тамбовская область,0.4938499999999999
Ямало-Ненецкий автономный округ,0.2391333333333333
Воронежская область,0.3917666666666666
г. Москва,0.09125
Республика Ингушетия,0.0710666666666666
Липецкая область,0.3792999999999999
Алтайский край,0.6959666666666666
Костромская область,0.4498
г. Севастополь,0.3237833333333333
Республика Саха (Якутия),0.4562
Тюменская область,0.52565
Пермский край,0.5116999999999999
Республика Мордовия,0.3237833333333333
Еврейская автономная область,0.9681666666666668
Тульская область,0.3729499999999999
Псковская область,0.4670666666666667
Республика Северная Осетия-Алания,0.180233333
Курганская область,0.6139833333333333
Новгородская область,0.940383333
Удмуртская Республика,0.5665166666666667
Ленинградская область,0.3197833333333333
Ставропольский край,0.3733166666666667
Магаданская область,0.8289666666666666
Забайкальский край,0.9781333333333334
Ульяновская область,0.44825
Краснодарский край,0.2928333333333333
Амурская область,0.8472833333333334
Свердловская область,0.5885
Челябинская область,0.6835666666666667
Томская область,0.4761999999999999
Республика Дагестан,0.1070333333333333
Республика Адыгея (Адыгея),0.315966667
Брянская область,0.3257333333333334
Нижегородская область,0.39605
Архангельская область,0.66995
Владимирская область,0.3962666666666666
Калининградская область,0.3692833333333333
Хабаровский край,0.7822833333333333
Республика Бурятия,0.8168833333333335
Ненецкий автономный округ,0.7090333333333333
Ханты-Мансийский автономный округ - Югра,0.2155
Новосибирская область,0.6197666666666667
Тверская область,0.4950666666666666
Кировская область,0.6085666666666668
